site.code,subplot,TreeX,TreeY,PWdistance
02-DCLU,4,119,114,6.723094526
02-DCLU,4,120,114,8.935882721
02-DCLU,4,121,114,9.812746812
02-DCLU,4,116,115,1.886796226
02-DCLU,4,117,115,4.031128874
02-DCLU,4,118,115,6.5
02-DCLU,4,119,115,3.275667871
02-DCLU,4,120,115,4.617358552
02-DCLU,4,121,115,8.809086218
02-DCLU,4,117,116,2.147091055
02-DCLU,4,118,116,4.614108798
02-DCLU,4,119,116,2.954657341
02-DCLU,4,120,116,3.310589071
02-DCLU,4,121,116,8.402380615
02-DCLU,4,118,117,2.469817807
02-DCLU,4,119,117,3.765634077
02-DCLU,4,120,117,2.640075756
02-DCLU,4,121,117,8.285529555
02-DCLU,4,119,118,5.730619513
02-DCLU,4,120,118,3.832753579
02-DCLU,4,121,118,8.980534505
02-DCLU,4,120,119,2.220360331
02-DCLU,4,121,119,5.586591089
02-DCLU,4,120,121,5.646237685
01-DTOW,5,70,69,8.340863265
01-DTOW,5,71,69,13.55912977
01-DTOW,5,72,69,13.59448418
01-DTOW,5,71,70,5.234500931
01-DTOW,5,72,70,11.73882447
01-DTOW,5,71,72,12.92439554
03-DLIS,2,62,61,1.264911064
03-DLIS,2,63,61,1.772004515
03-DLIS,2,64,61,3.330165161
03-DLIS,2,65,61,4.031128874
03-DLIS,2,66,61,4.53431362
03-DLIS,2,67,61,5.331041174
03-DLIS,2,68,61,6.300793601
03-DLIS,2,69,61,7.780102827
03-DLIS,2,70,61,8.91571646
03-DLIS,2,71,61,9.613532129
03-DLIS,2,72,61,11.10855526
03-DLIS,2,73,61,8.935882721
03-DLIS,2,74,61,9.718538985
03-DLIS,2,75,61,11.501739
03-DLIS,2,76,61,12.40644994
03-DLIS,2,77,61,13.40335779
03-DLIS,2,78,61,15.45477273
03-DLIS,2,79,61,17.5071414
03-DLIS,2,80,61,15.97059799
03-DLIS,2,81,61,16.54690303
03-DLIS,2,82,61,17.70536642
03-DLIS,2,83,61,14.16509795
03-DLIS,2,84,61,12.59364919
03-DLIS,2,85,61,14.45164351
03-DLIS,2,86,61,13.23782459
03-DLIS,2,87,61,14.90939301
03-DLIS,2,88,61,17.04171353
03-DLIS,2,89,61,16.20493752
03-DLIS,2,90,61,17.05520448
03-DLIS,2,91,61,20.03596766
03-DLIS,2,92,61,21.13764414
03-DLIS,2,93,61,19.99849994
