row,N,Data,radius,theta,R0roost,gamma,nsims,threshold,modstr,site,subplot,n,Ntot,id,plotid,Beta
84,1080,3,3,0.1,30,0.142857143,500,10,SIRns,DTOW,5,4,4320,84,DTOW005,0.000992063
85,9,1,3,0.5,2,0.142857143,500,10,SIRns,DCLU,4,32,288,85,DCLU004,0.000992063
86,90,1,3,0.5,20,0.142857143,500,10,SIRns,DCLU,4,32,2880,86,DCLU004,0.000992063
87,135,1,3,0.5,30,0.142857143,500,10,SIRns,DCLU,4,32,4320,87,DCLU004,0.000992063
88,4,2,3,0.5,2,0.142857143,500,10,SIRns,DLIS,2,72,288,88,DLIS002,0.000992063
89,40,2,3,0.5,20,0.142857143,500,10,SIRns,DLIS,2,72,2880,89,DLIS002,0.000992063
90,60,2,3,0.5,30,0.142857143,500,10,SIRns,DLIS,2,72,4320,90,DLIS002,0.000992063
91,72,3,3,0.5,2,0.142857143,500,10,SIRns,DTOW,5,4,288,91,DTOW005,0.000992063
92,720,3,3,0.5,20,0.142857143,500,10,SIRns,DTOW,5,4,2880,92,DTOW005,0.000992063
93,1080,3,3,0.5,30,0.142857143,500,10,SIRns,DTOW,5,4,4320,93,DTOW005,0.000992063
94,9,1,3,1,2,0.142857143,500,10,SIRns,DCLU,4,32,288,94,DCLU004,0.000992063
95,90,1,3,1,20,0.142857143,500,10,SIRns,DCLU,4,32,2880,95,DCLU004,0.000992063
96,135,1,3,1,30,0.142857143,500,10,SIRns,DCLU,4,32,4320,96,DCLU004,0.000992063
97,4,2,3,1,2,0.142857143,500,10,SIRns,DLIS,2,72,288,97,DLIS002,0.000992063
98,40,2,3,1,20,0.142857143,500,10,SIRns,DLIS,2,72,2880,98,DLIS002,0.000992063
99,60,2,3,1,30,0.142857143,500,10,SIRns,DLIS,2,72,4320,99,DLIS002,0.000992063
100,72,3,3,1,2,0.142857143,500,10,SIRns,DTOW,5,4,288,100,DTOW005,0.000992063
101,720,3,3,1,20,0.142857143,500,10,SIRns,DTOW,5,4,2880,101,DTOW005,0.000992063
102,1080,3,3,1,30,0.142857143,500,10,SIRns,DTOW,5,4,4320,102,DTOW005,0.000992063
103,9,1,3,2,2,0.142857143,500,10,SIRns,DCLU,4,32,288,103,DCLU004,0.000992063
104,90,1,3,2,20,0.142857143,500,10,SIRns,DCLU,4,32,2880,104,DCLU004,0.000992063
105,135,1,3,2,30,0.142857143,500,10,SIRns,DCLU,4,32,4320,105,DCLU004,0.000992063
106,4,2,3,2,2,0.142857143,500,10,SIRns,DLIS,2,72,288,106,DLIS002,0.000992063
107,40,2,3,2,20,0.142857143,500,10,SIRns,DLIS,2,72,2880,107,DLIS002,0.000992063
108,60,2,3,2,30,0.142857143,500,10,SIRns,DLIS,2,72,4320,108,DLIS002,0.000992063
109,72,3,3,2,2,0.142857143,500,10,SIRns,DTOW,5,4,288,109,DTOW005,0.000992063
110,720,3,3,2,20,0.142857143,500,10,SIRns,DTOW,5,4,2880,110,DTOW005,0.000992063
111,1080,3,3,2,30,0.142857143,500,10,SIRns,DTOW,5,4,4320,111,DTOW005,0.000992063
112,9,1,3,10,2,0.142857143,500,10,SIRns,DCLU,4,32,288,112,DCLU004,0.000992063
113,90,1,3,10,20,0.142857143,500,10,SIRns,DCLU,4,32,2880,113,DCLU004,0.000992063
114,135,1,3,10,30,0.142857143,500,10,SIRns,DCLU,4,32,4320,114,DCLU004,0.000992063
115,4,2,3,10,2,0.142857143,500,10,SIRns,DLIS,2,72,288,115,DLIS002,0.000992063
116,40,2,3,10,20,0.142857143,500,10,SIRns,DLIS,2,72,2880,116,DLIS002,0.000992063
117,60,2,3,10,30,0.142857143,500,10,SIRns,DLIS,2,72,4320,117,DLIS002,0.000992063
118,72,3,3,10,2,0.142857143,500,10,SIRns,DTOW,5,4,288,118,DTOW005,0.000992063
119,720,3,3,10,20,0.142857143,500,10,SIRns,DTOW,5,4,2880,119,DTOW005,0.000992063
120,1080,3,3,10,30,0.142857143,500,10,SIRns,DTOW,5,4,4320,120,DTOW005,0.000992063
